date,excitedTally,happyTally,contentTally,anxiousTally,sadTally,angryTally,other
1-Apr,10,20,30,5,20,20,5
2-Apr,20,30,5,20,20,5,10
3-Apr,30,5,20,20,5,10,20
4-Apr,5,20,20,5,10,20,30
5-Apr,20,20,5,10,20,30,5
6-Apr,10,20,30,5,20,20,5
7-Apr,20,30,5,20,20,5,10
8-Apr,30,5,20,20,5,10,20
9-Apr,5,20,20,5,10,20,30
10-Apr,20,20,5,10,20,30,5
11-Apr,10,20,30,5,20,20,5
12-Apr,20,30,5,20,20,5,10
13-Apr,30,5,20,20,5,10,20
14-Apr,5,20,20,5,10,20,30
15-Apr,20,20,5,10,20,30,5
16-Apr,10,20,30,5,20,20,5
17-Apr,20,30,5,20,20,5,10
18-Apr,30,5,20,20,5,10,20
19-Apr,5,20,20,5,10,20,30
20-Apr,20,20,5,10,20,30,5
21-Apr,10,20,30,5,20,20,5
22-Apr,20,30,5,20,20,5,10
23-Apr,30,5,20,20,5,10,20
24-Apr,5,20,20,5,10,20,30
25-Apr,20,20,5,10,20,30,5
26-Apr,10,20,30,5,20,20,5
27-Apr,20,30,5,20,20,5,10
28-Apr,30,5,20,20,5,10,20
29-Apr,5,20,20,5,10,20,30
30-Apr,20,20,5,10,20,30,5
